date,inflation,interest_rate,housing_price
2010-01-01,3.4,4.146666666666667,104.6
2010-04-01,2.4,3.8633333333333333,105.87
2010-07-01,2.1,3.823333333333333,106.02
2010-10-01,2.733333333333333,3.893333333333333,105.95
2011-01-01,3.6333333333333333,4.146666666666667,105.88
2011-04-01,4.033333333333333,4.48,106.57
2011-07-01,3.6666666666666665,4.7299999999999995,105.41
2011-10-01,4.266666666666667,4.956666666666667,104.92
2012-01-01,4.133333333333333,4.968233333333334,103.5
2012-04-01,3.966666666666667,5.0633333333333335,102.82
2012-07-01,3.9666666666666663,5.023333333333333,101.41
2012-10-01,2.733333333333333,4.443333333333334,100.29
2013-01-01,1.2666666666666666,3.69,97.7
2013-04-01,0.5333333333333333,2.85,97.52
2013-07-01,0.8666666666666667,2.69,97.43
2013-10-01,0.6,2.6733333333333333,97.49
2014-01-01,0.6333333333333333,2.7099999999999995,97.15
2014-04-01,0.3,2.706666666666667,99.3
2014-07-01,-0.16666666666666666,2.513333333333333,98.66
2014-10-01,-0.4333333333333333,2.026666666666667,98.89
2015-01-01,-1.2,1.82,99.06
2015-04-01,-0.6333333333333333,1.6833333333333333,100.43
2015-07-01,-0.4666666666666666,1.7233333333333334,100.63
2015-10-01,-0.5,1.7266666666666666,99.88
2016-01-01,-0.3,1.6833333333333333,100.0
2016-04-01,-0.43333333333333335,1.6866666666666665,100.84
2016-07-01,-0.43333333333333335,1.71,102.73
2016-10-01,0.4000000000000001,1.7266666666666666,103.86
2017-01-01,1.7,1.7299999999999998,103.33
2017-04-01,1.5333333333333332,1.7299999999999998,105.44
2017-07-01,1.4666666666666668,1.7299999999999998,106.5
2017-10-01,1.7666666666666666,1.7266666666666666,107.86
2018-01-01,1.0,1.7133333333333332,109.48
2018-04-01,1.1666666666666667,1.7,111.95
2018-07-01,1.4333333333333333,1.71,113.43
2018-10-01,1.1666666666666667,1.72,116.11
2019-01-01,1.2,1.72,118.34
2019-04-01,2.1999999999999997,1.72,121.1
2019-07-01,2.5,1.72,123.59
2019-10-01,2.5666666666666664,1.71,127.06
2020-01-01,3.933333333333333,1.53,131.66
2020-04-01,3.3666666666666667,0.40666666666666673,134.31
2020-07-01,3.733333333333333,0.22666666666666668,137.06
2020-10-01,3.6333333333333333,0.21666666666666667,138.42
2021-01-01,3.866666666666667,0.21,141.16
2021-04-01,4.6,0.21,145.5
2021-07-01,5.1000000000000005,0.22,149.28
2021-10-01,7.266666666666667,1.78,155.15
2022-01-01,9.0,3.813333333333333,160.3
2022-04-01,12.799999999999999,6.563333333333333,163.5
2022-07-01,14.9,7.109999999999999,167.38
2022-10-01,15.933333333333332,7.27,169.64
2023-01-01,16.099999999999998,6.926666666666667,169.52
2023-04-01,12.5,6.900000000000001,175.0
2023-07-01,9.166666666666666,6.48,182.88
2023-10-01,6.266666666666667,5.766666666666666,191.72
2024-01-01,3.6333333333333333,5.863333333333333,200.04
2024-04-01,2.9,5.8500000000000005,205.92
2024-07-01,4.066666666666666,5.853333333333333,209.2
2024-10-01,4.0,5.849999999999999,211.65
2025-01-01,4.333333333333333,5.8566666666666665,213.2
2025-04-01,3.533333333333333,5.3566666666666665,215.66
2025-07-01,2.8333333333333335,4.883333333333333,217.54
2025-10-01,2.6666666666666665,4.3,220.82
