DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2005-Q1,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2005-Q2,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2005-Q3,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2005-Q4,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2006-Q1,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2006-Q2,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2006-Q3,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2006-Q4,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2007-Q1,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2007-Q2,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2007-Q3,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2007-Q4,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2008-Q1,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2008-Q2,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2008-Q3,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2008-Q4,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2009-Q1,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2009-Q2,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2009-Q3,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2009-Q4,,,N
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2010-Q1,104.60,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2010-Q2,105.87,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2010-Q3,106.02,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2010-Q4,105.95,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2011-Q1,105.88,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2011-Q2,106.57,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2011-Q3,105.41,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2011-Q4,104.92,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2012-Q1,103.50,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2012-Q2,102.82,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2012-Q3,101.41,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2012-Q4,100.29,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2013-Q1,97.70,,
ESTAT:TIPSHO40(1.0),07/04/26 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2013-Q2,97.52,,
