DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-01,17.7,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-02,17.4,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-03,16.5,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-04,15.3,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-05,14.4,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-06,15.4,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-07,15.1,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-08,15.1,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-09,13.9,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-10,13.3,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-11,13.1,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1997-12,13.2,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1998-01,13.6,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1998-02,14.3,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1998-03,14.0,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1998-04,13.6,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1998-05,13.5,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1998-06,12.0,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1998-07,11.8,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1998-08,11.0,d,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Poland,1998-09,10.6,d,
